pop,dim,gen,threads,load,seed,best_fitness,tempo_s,size_label,run
1500,300,30,4,50,1008,-903.527451,1.319421,M,8
1500,300,30,4,50,1009,-841.421884,1.195806,M,9
1500,300,30,4,50,1010,-890.803690,1.210295,M,10
1500,300,30,6,50,1001,-808.452405,1.254473,M,1
1500,300,30,6,50,1002,-864.503585,1.334894,M,2
1500,300,30,6,50,1003,-834.508200,1.275340,M,3
1500,300,30,6,50,1004,-864.034213,1.285958,M,4
1500,300,30,6,50,1005,-935.717742,1.277764,M,5
1500,300,30,6,50,1006,-869.041148,1.338897,M,6
1500,300,30,6,50,1007,-873.747738,1.273284,M,7
1500,300,30,6,50,1008,-903.527451,1.266016,M,8
1500,300,30,6,50,1009,-841.421884,1.244211,M,9
1500,300,30,6,50,1010,-890.803690,1.360027,M,10
1500,300,30,8,50,1001,-808.452405,1.232497,M,1
1500,300,30,8,50,1002,-864.503585,1.215140,M,2
1500,300,30,8,50,1003,-834.508200,1.207678,M,3
1500,300,30,8,50,1004,-864.034213,1.286019,M,4
1500,300,30,8,50,1005,-935.717742,1.192711,M,5
1500,300,30,8,50,1006,-869.041148,1.225666,M,6
1500,300,30,8,50,1007,-873.747738,1.233501,M,7
1500,300,30,8,50,1008,-903.527451,1.267080,M,8
1500,300,30,8,50,1009,-841.421884,1.186536,M,9
1500,300,30,8,50,1010,-890.803690,1.227858,M,10
1500,300,30,10,50,1001,-808.452405,1.076081,M,1
1500,300,30,10,50,1002,-864.503585,1.106966,M,2
1500,300,30,10,50,1003,-834.508200,1.057219,M,3
1500,300,30,10,50,1004,-864.034213,1.062372,M,4
1500,300,30,10,50,1005,-935.717742,1.073559,M,5
1500,300,30,10,50,1006,-869.041148,1.152911,M,6
1500,300,30,10,50,1007,-873.747738,1.093974,M,7
1500,300,30,10,50,1008,-903.527451,1.093392,M,8
1500,300,30,10,50,1009,-841.421884,1.060176,M,9
1500,300,30,10,50,1010,-890.803690,1.099316,M,10
1500,300,30,12,50,1001,-808.452405,0.985155,M,1
1500,300,30,12,50,1002,-864.503585,1.065667,M,2
1500,300,30,12,50,1003,-834.508200,0.971846,M,3
1500,300,30,12,50,1004,-864.034213,0.923566,M,4
1500,300,30,12,50,1005,-935.717742,0.913337,M,5
1500,300,30,12,50,1006,-869.041148,0.916590,M,6
1500,300,30,12,50,1007,-873.747738,1.047928,M,7
1500,300,30,12,50,1008,-903.527451,0.937814,M,8
1500,300,30,12,50,1009,-841.421884,0.928374,M,9
1500,300,30,12,50,1010,-890.803690,0.916837,M,10
2500,400,30,1,50,1001,-971.769100,9.015437,G,1
2500,400,30,1,50,1002,-774.153040,8.719596,G,2
2500,400,30,1,50,1003,-859.901477,8.976520,G,3
2500,400,30,1,50,1004,-946.358364,9.122698,G,4
2500,400,30,1,50,1005,-930.620960,8.680148,G,5
2500,400,30,1,50,1006,-908.919693,8.792949,G,6
2500,400,30,1,50,1007,-878.090224,8.683257,G,7
2500,400,30,1,50,1008,-1000.569470,8.760907,G,8
2500,400,30,1,50,1009,-938.898739,8.698678,G,9
2500,400,30,1,50,1010,-890.400877,8.680428,G,10
2500,400,30,2,50,1001,-971.769100,4.586937,G,1
2500,400,30,2,50,1002,-774.153040,4.629795,G,2
2500,400,30,2,50,1003,-859.901477,4.562726,G,3
2500,400,30,2,50,1004,-946.358364,4.577266,G,4
2500,400,30,2,50,1005,-930.620960,4.634877,G,5
2500,400,30,2,50,1006,-908.919693,4.564259,G,6
2500,400,30,2,50,1007,-878.090224,4.601421,G,7
2500,400,30,2,50,1008,-1000.569470,4.554038,G,8
2500,400,30,2,50,1009,-938.898739,4.588116,G,9
2500,400,30,2,50,1010,-890.400877,4.702842,G,10
2500,400,30,4,50,1001,-971.769100,2.707452,G,1
2500,400,30,4,50,1002,-774.153040,2.647215,G,2
2500,400,30,4,50,1003,-859.901477,2.727667,G,3
2500,400,30,4,50,1004,-946.358364,2.589585,G,4
2500,400,30,4,50,1005,-930.620960,3.228872,G,5
2500,400,30,4,50,1006,-908.919693,2.857672,G,6
2500,400,30,4,50,1007,-878.090224,2.646972,G,7
2500,400,30,4,50,1008,-1000.569470,2.853916,G,8
2500,400,30,4,50,1009,-938.898739,2.991042,G,9
2500,400,30,4,50,1010,-890.400877,2.852561,G,10
2500,400,30,6,50,1001,-971.769100,2.769098,G,1
2500,400,30,6,50,1002,-774.153040,2.800175,G,2
2500,400,30,6,50,1003,-859.901477,2.770962,G,3
2500,400,30,6,50,1004,-946.358364,2.797700,G,4
2500,400,30,6,50,1005,-930.620960,2.797067,G,5
2500,400,30,6,50,1006,-908.919693,2.718696,G,6
2500,400,30,6,50,1007,-878.090224,2.843219,G,7
2500,400,30,6,50,1008,-1000.569470,2.710117,G,8
2500,400,30,6,50,1009,-938.898739,2.753735,G,9
2500,400,30,6,50,1010,-890.400877,2.727360,G,10
2500,400,30,8,50,1001,-971.769100,2.482554,G,1
2500,400,30,8,50,1002,-774.153040,2.444979,G,2
2500,400,30,8,50,1003,-859.901477,2.543688,G,3
2500,400,30,8,50,1004,-946.358364,2.409215,G,4
2500,400,30,8,50,1005,-930.620960,2.541833,G,5
2500,400,30,8,50,1006,-908.919693,2.432136,G,6
2500,400,30,8,50,1007,-878.090224,2.516008,G,7
2500,400,30,8,50,1008,-1000.569470,2.442847,G,8
2500,400,30,8,50,1009,-938.898739,2.448845,G,9
2500,400,30,8,50,1010,-890.400877,2.453249,G,10
2500,400,30,10,50,1001,-971.769100,2.334080,G,1
2500,400,30,10,50,1002,-774.153040,2.336060,G,2
2500,400,30,10,50,1003,-859.901477,2.376795,G,3
2500,400,30,10,50,1004,-946.358364,2.423526,G,4
2500,400,30,10,50,1005,-930.620960,2.373965,G,5
2500,400,30,10,50,1006,-908.919693,2.328581,G,6
2500,400,30,10,50,1007,-878.090224,2.384289,G,7
2500,400,30,10,50,1008,-1000.569470,2.374015,G,8
2500,400,30,10,50,1009,-938.898739,2.420375,G,9
2500,400,30,10,50,1010,-890.400877,2.433147,G,10
2500,400,30,12,50,1001,-971.769100,2.043186,G,1
2500,400,30,12,50,1002,-774.153040,2.153074,G,2
2500,400,30,12,50,1003,-859.901477,2.068320,G,3
2500,400,30,12,50,1004,-946.358364,2.214156,G,4
2500,400,30,12,50,1005,-930.620960,2.061282,G,5
2500,400,30,12,50,1006,-908.919693,2.072185,G,6
2500,400,30,12,50,1007,-878.090224,2.127406,G,7
2500,400,30,12,50,1008,-1000.569470,2.101816,G,8
2500,400,30,12,50,1009,-938.898739,2.187281,G,9
2500,400,30,12,50,1010,-890.400877,2.064351,G,10
